,p1k_00001,p1k_00002,p1k_00106,p1k_00107
ASPO5_1,0.0,0.0,0.0,0.0
CITt7,0.0,0.0,0.0,0.0
DB4PS,1.4935559136119991e-05,1.4935559136119991e-05,1.4935559139817602e-05,1.4935559139817602e-05
CLPNS_EC,0.004816717822591176,0.004816717822591176,0.004816717822591176,0.004816717822591176
ASPO6_1,0.0,0.0,0.0,0.0
CMPN,0.0,0.0,0.0,0.0
DBTS,0.0,0.0,0.0,0.0
CO2t,-21.5026221717683,-21.502622171765033,-21.502622171767694,-21.502622171768554
ASPT,0.0,0.0,0.0,0.0
DCTPD,0.0,0.0,0.0,0.0
CPPPGO,0.0,0.0,0.0,0.0
ASPTA,-1.7354350539167696,-1.7354350539199563,-1.7354350539180072,-1.7354350539173404
CRNBTCT,0.0,0.0,0.0,0.0
CRNCBCT,0.0,0.0,0.0,0.0
DCYTD,0.0,0.0,0.0,0.0
ASPabc,0.0,0.0,0.0,0.0
DCYTt2,0.0,0.0,0.0,0.0
DDGALK,0.0,0.0,0.0,0.0
DDGLCNt2r,0.0,0.0,0.0,0.0
DDGLK,0.0,0.0,0.0,0.0
CRNCDH,0.0,0.0,0.0,0.0
CRNt7,0.0,0.0,0.0,0.0
CS,3.7764112471463633,3.776411247148614,4.125319649368678,4.125319649368347
CSND,0.0,0.0,0.0,0.0
CSNt2,0.0,0.0,0.0,0.0
DDPA,0.3069257403232517,0.3069257403232517,0.3069257403232499,0.3069257403232499
DDPGALA,0.0,0.0,0.0,0.0
DGK1,0.0,0.0,0.0,0.0
ASPt2r,0.0,0.0,0.0,0.0
DGSNt2,0.0,0.0,0.0,0.0
DHAD1,0.619869764201865,0.6198697642018649,0.6198697642018934,0.6198697642018939
DHAD2,0.2061107161294829,0.2061107161294829,0.2061107161294829,0.2061107161294829
CTPS2,0.11306218268841925,0.11306218268841925,0.11306218268841925,0.11306218268841925
CYANST,0.0,0.0,0.0,0.0
CYNTAH,0.0,0.0,0.0,0.0
DHAPT,0.0,0.0,0.0,0.0
CYNTt2,0.0,0.0,0.0,0.0
ASPt2_2,0.0,0.0,0.0,0.0
CYSDS,0.0,0.0,0.0,0.0
DHAt,0.0,0.0,0.0,0.0
DHBD,0.0,0.0,0.0,0.0
DHBSr,0.0,0.0,0.0,0.0
CYSS,0.17404332387833724,0.1740433238783372,0.1740433238783382,0.17404332387833768
CYSTL,0.10902958172066847,0.10902958172066851,0.10902958172066946,0.10902958172066847
DHCIND,0.0,0.0,0.0,0.0
ASPt2_3,0.0,0.0,0.0,0.0
DHCINDO_1,0.0,0.0,0.0,0.0
DHDPRy,0.2640606855919752,0.2640606855919752,0.2640606855919752,0.2640606855919752
CYSabc,0.0,0.0,0.0,0.0
CYTBD,0.0,0.0,0.0,0.0
AST,0.0,0.0,0.0,0.0
CYTBO3,40.0,40.0,40.00000000000001,40.00000000000001
CYTD,0.0,0.0,0.0,0.0
CYTDK2,0.0,0.0,0.0,0.0
CYTDt2_copy1,7.117897826972579,6.173400879177556,6.6344062474663685,6.36759431302592
DHDPS,0.2640606855919752,0.2640606855919752,0.2640606855919752,0.2640606855919752
DHFR,0.05578431338721876,0.05578431338721876,0.05578431338721865,0.05578431338721865
DHFS_1,0.03733889784954403,0.03733889784954403,0.03733889784954392,0.03733889784954392
DHNAOT,0.0,0.0,0.0,0.0
ATPM,7.6,7.6,7.6,7.6
DHNPA2r,0.03733889784954403,0.03733889784954403,0.03733889784954392,0.03733889784954392
DHORD2,0.0,0.0,0.0,0.0
CYTDt2_copy2,-7.117897826972579,-6.173400879177556,-6.6344062474663685,-6.36759431302592
CYTK1,0.13255980836749387,0.13255980836749381,0.13255980836749387,0.13255980836749431
CYTK2,0.0,0.0,0.0,0.0
DHORD5,0.23530973424783155,0.2353097342478315,0.2353097342478316,0.23530973424783155
DHORTS,-0.23530973424783155,-0.2353097342478315,-0.2353097342478316,-0.23530973424783155
ATPPRT,0.06721001612917919,0.06721001612917919,0.06721001612917919,0.06721001612917919
DHPPD,0.0,0.0,0.0,0.0
DAAD,0.0,0.0,0.0,0.0
ATPS4r,37.86871088094407,37.868710880978036,37.17089407652036,37.170894076514244
DADA,0.0,0.0,0.0,0.0
DADK,0.0,-0.38608420376428515,0.0,0.0
DHPPDA2,7.467779568059996e-06,7.467779568059996e-06,7.467779569908801e-06,7.467779569908801e-06
DHPS2_1,0.03733889784954403,0.03733889784954403,0.03733889784954392,0.03733889784954392
BETALDHx,0.0,0.0,0.0,0.0
DHPTDCs,0.0,0.0,0.0,0.0
DHQTi,0.3069257403232517,0.3069257403232517,0.3069257403232499,0.3069257403232499
DADNt2,0.0,0.0,0.0,0.0
BETALDHy,0.0,0.0,0.0,0.0
DAGK_EC,0.012545869677446786,0.012545869677446786,0.012545869677446786,0.012545869677446786
DALAt2r,0.0,0.0,0.0,0.0
DHQS,0.3069257403232517,0.3069257403232517,0.3069257403232499,0.3069257403232499
DINSt2,0.0,0.0,0.0,0.0
DAPDC,0.2434496139790269,0.2434496139790269,0.2434496139790269,0.2434496139790269
DKGLCNR1,0.0,0.0,0.0,0.0
DAPE,0.2640606855919752,0.2640606855919752,0.2640606855919752,0.2640606855919752
DAPabc,0.0,0.0,0.0,0.0
DKGLCNR2x,0.0,0.0,0.0,0.0
DKGLCNR2y,0.0,0.0,0.0,0.0
DKMPPD,0.0,0.0,0.0,0.0
DKMPPD2,0.0052274456989361605,0.0052274456989361605,0.0052274456989361605,0.0052274456989361605
BPNT,0.17404332387833724,0.1740433238783372,0.1740433238783382,0.17404332387833768
DMATT,0.0,0.0,0.0,0.0
DMPPS,0.0,0.0,0.0,0.0
DMQMT,0.0,0.0,0.0,0.0
EDD,0.0,0.0,0.0,0.0
BSORx,0.0,0.0,0.0,0.0
EDTXS1,0.006272934838723392,0.006272934838723392,0.006272934838723392,0.006272934838723392
DMSOR1,0.0,0.0,0.0,0.0
BSORy,0.0,0.0,0.0,0.0
DMSOR1e,0.0,0.0,0.0,0.0
EDTXS2,0.006272934838723392,0.006272934838723392,0.006272934838723392,0.006272934838723392
DMSOR2,0.0,0.0,0.0,0.0
BTS2,0.0,0.0,0.0,0.0
EDTXS3,0.0,0.0,0.0,0.0
EDTXS4,0.0,0.0,0.0,0.0
DMSOR2e,0.0,0.0,0.0,0.0
ENO,14.305783838177291,14.305783838171482,14.654692240394576,14.654692240395573
DNMPPA,0.03733889784954403,0.03733889784954403,0.03733889784954392,0.03733889784954392
BUTCT,0.0,0.0,0.0,0.0
DNTPPA,0.03733889784954403,0.03733889784954403,0.03733889784954392,0.03733889784954392
DOGULNR,0.0,0.0,0.0,0.0
ENTCS_1,0.0,0.0,0.0,0.0
BUTt2r,0.0,0.0,0.0,0.0
DPCOAK,4.4059899462212115e-05,4.4059899462156604e-05,4.4059899462212115e-05,4.4059899462656205e-05
BIOMASS_Ecoli,0.74677795699088,0.74677795699088,0.74677795699088,0.74677795699088
DPR,4.4059899462212115e-05,4.4059899462156604e-05,4.4059899462212115e-05,4.4059899462656205e-05
ETHAAL,0.0,0.0,0.0,0.0
ETOHt2r,0.0,0.0,0.0,0.0
DRPA,0.38608420376428515,0.38608420376428515,0.38608420376428576,0.38608420376428515
EX_h2o_e,37.30131847594023,37.30131847595969,37.301318475949664,37.301318475946154
DSERt2,0.0,0.0,0.0,0.0
DTMPK,0.018445415537674734,0.018445415537674734,0.018445415537674734,0.018445415537674734
DURIK1,0.0,0.0,0.0,0.0
DURIPP,0.38608420376428515,0.0,0.38608420376428576,0.38608420376428515
DURIt2,0.0,0.0,0.0,0.0
DUTPDP,0.0,0.0,0.0,0.0
DXPRIi,0.0,0.0,0.0,0.0
EX_12ppd__S_e,0.0,0.0,0.0,0.0
EX_15dap_e,0.0,0.0,0.0,0.0
EX_26dap__M_e,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0
EX_3hcinnm_e,0.0,0.0,0.0,0.0
EX_3hpppn_e,0.0,0.0,0.0,0.0
EX_4abut_e,0.0,0.0,0.0,0.0
EX_ac_e,3.768383258850775,3.768383258842007,3.768383258844922,3.768383258846254
DXPS,0.0,0.0,0.0,0.0
DXYLK,0.0,0.0,0.0,0.0
EX_acac_e,0.0,0.0,0.0,0.0
EX_h_e,10.615605282060365,10.615605282055455,10.615605282055382,10.615605282055405
EX_acald_e,0.0,0.0,0.0,0.0
EX_acgam_e,0.0,0.0,0.0,0.0
D_LACt2,0.0,0.0,0.0,0.0
E4PD,0.0,0.0,0.0,0.0
ECAP_EC,0.0,0.0,0.0,0.0
EX_acmana_e,0.0,0.0,0.0,0.0
EX_hdca_e,0.0,0.0,0.0,0.0
EX_acnam_e,0.0,0.0,0.0,0.0
EX_ade_e,0.0,0.0,0.0,0.0
EDA,0.0,0.0,0.0,0.0
EX_his__L_e,0.0,0.0,0.0,0.0
EX_adn_e,0.0,0.0,0.0,0.0
EX_akg_e,0.0,0.0,0.0,0.0
EX_hxan_e,0.0,0.0,0.0,0.0
EX_ala__D_e,0.0,0.0,0.0,0.0
EX_idon__L_e,0.0,0.0,0.0,0.0
EX_ala__L_e,0.0,0.0,0.0,0.0
EX_alltn_e,0.0,0.0,0.0,0.0
EX_amp_e,0.0,0.0,0.0,0.0
EX_arab__L_e,0.0,0.0,0.0,0.0
EX_arg__L_e,0.0,0.0,0.0,0.0
FBP,0.0,0.0,0.0,0.0
FCI,0.0,0.0,0.0,0.0
FCLK,0.0,0.0,0.0,0.0
FCLPA,0.0,0.0,0.0,0.0
FCLT,0.0,0.0,0.0,0.0
EX_asn__L_e,0.0,0.0,0.0,0.0
EX_asp__L_e,0.0,0.0,0.0,0.0
EX_ile__L_e,0.0,0.0,0.0,0.0
EX_but_e,0.0,0.0,0.0,0.0
EX_cbl1_e,0.0,0.0,0.0,0.0
FDH2,0.0,0.0,0.0,0.0
FDH3,9.239122547438003,0.08323957985249683,0.0,0.0
FE2abc,0.0,0.0,0.0,0.0
EX_chol_e,0.0,0.0,0.0,0.0
EX_indole_e,0.0,0.0,0.0,0.0
EX_cit_e,0.0,0.0,0.0,0.0
EX_co2_e,21.5026221717683,21.502622171765033,21.502622171767694,21.502622171768554
EX_crn_e,0.0,0.0,0.0,0.0
FFSD,0.0,0.0,0.0,0.0
FHL,1.3660168759688296,2.0827447395139456,2.069391866067585,1.2004475952166358
FMNAT,7.467779568059996e-06,7.467779568059996e-06,7.467779569908801e-06,7.467779569908801e-06
EX_csn_e,0.0,0.0,0.0,0.0
EX_ins_e,0.0,0.0,0.0,0.0
EX_cynt_e,0.0,0.0,0.0,0.0
EX_k_e,0.0,0.0,0.0,0.0
EX_cys__L_e,0.0,0.0,0.0,0.0
EX_cytd_e,0.0,0.0,0.0,0.0
EX_lac__D_e,0.0,0.0,0.0,0.0
EX_dad_2_e,0.0,0.0,0.0,0.0
FORt,0.0,0.0,0.0,0.0
FRD2,10.879826759325889,2.440671655286394,2.34407920198759,1.4751349311366466
EX_dcyt_e,0.0,0.0,0.0,0.0
FRD3,18.731022054700105,21.21123514001273,31.527795921866986,34.39456932996487
FRUK,0.0,0.0,0.0,0.0
FRUpts,0.0,0.0,0.0,0.0
FRUpts2,0.0,0.0,0.0,0.0
EX_dgsn_e,0.0,0.0,0.0,0.0
EX_dha_e,0.0,0.0,0.0,0.0
EX_din_e,0.0,0.0,0.0,0.0
EX_dms_e,0.0,0.0,0.0,0.0
FTHFD,0.23174909694873008,0.23174909694754547,0.23174909694855428,0.2317490969488889
EX_lac__L_e,0.0,0.0,0.0,0.0
FUCPt6_2,0.0,0.0,0.0,0.0
FUCt,0.0,0.0,0.0,0.0
FUM,3.7299653921116005,3.7299653921163274,4.078873794334324,4.078873794333332
EX_dmso_e,0.0,0.0,0.0,0.0
EX_duri_e,0.0,0.0,0.0,0.0
EX_etoh_e,0.0,0.0,0.0,0.0
FUMt2_2,0.0,1.9022872828229451,2.585859528793638,3.0357145359451736
EX_lcts_e,0.0,0.0,0.0,0.0
FUMt2_3,0.0,0.0,0.0,0.0
EX_fe2_e,0.0,0.0,0.0,0.0
EX_for_e,0.0,0.0,0.0,0.0
G1PACT,0.05376801290334336,0.05376801290334336,0.05376801290334336,0.05376801290334336
EX_leu__L_e,0.0,0.0,0.0,0.0
G1PP,0.0,0.0,0.0,0.0
EX_fru_e,0.0,0.0,0.0,0.0
EX_lys__L_e,0.0,0.0,0.0,0.0
EX_fuc1p__L_e,0.0,0.0,0.0,0.0
EX_fuc__L_e,0.0,0.0,0.0,0.0
G1PTT,0.0,0.0,0.0,0.0
G1SAT,0.0,0.0,0.0,0.0
EX_fum_e,0.0,0.0,0.0,0.0
EX_mal__L_e,0.0,0.0,0.0,0.0
G3PD2,-0.12329304069919429,-0.12329304069919429,-0.12329304069919429,-0.12329304069919429
G3PD5,0.0,0.0,0.0,0.0
EX_g6p_e,0.0,0.0,0.0,0.0
G3PD6,0.0,0.0,0.0,0.0
EX_gal_e,0.0,0.0,0.0,0.0
EX_galct__D_e,0.0,0.0,0.0,0.0
EX_galctn__D_e,0.0,0.0,0.0,0.0
G3PD7,0.0,0.0,0.0,0.0
G5SADs,0.15682337096808396,0.15682337096808396,0.15682337096808396,0.15682337096808396
G5SD,0.15682337096808396,0.15682337096808396,0.15682337096808396,0.15682337096808396
EX_galt_e,0.0,0.0,0.0,0.0
EX_malt_e,0.0,0.0,0.0,0.0
EX_galur_e,0.0,0.0,0.0,0.0
EX_gam_e,0.0,0.0,0.0,0.0
G6PDA,0.0,0.0,0.0,0.0
G6PDH2r,5.12834718121546,5.128347181216283,4.081621974553947,4.0816219745537765
G6Pt6_2,0.0,0.0,0.0,0.0
GALCTD,0.0,0.0,0.0,0.0
EX_gbbtn_e,0.0,0.0,0.0,0.0
EX_glc__D_e,-10.0,-10.0,-10.0,-10.0
GALCTND,0.0,0.0,0.0,0.0
GALCTNt2r,0.0,0.0,0.0,0.0
EX_glcn_e,0.0,0.0,0.0,0.0
EX_malthx_e,0.0,0.0,0.0,0.0
EX_glcr_e,0.0,0.0,0.0,0.0
EX_glcur_e,0.0,0.0,0.0,0.0
GALCTt2r,0.0,0.0,0.0,0.0
EX_maltpt_e,0.0,0.0,0.0,0.0
GALKr,0.0,0.0,0.0,0.0
GALS3,0.0,0.0,0.0,0.0
GALTpts,0.0,0.0,0.0,0.0
EX_gln__L_e,0.0,0.0,0.0,0.0
EX_glu__L_e,0.0,0.0,0.0,0.0
EX_gly_e,0.0,0.0,0.0,0.0
EX_glyald_e,0.0,0.0,0.0,0.0
EX_glyb_e,0.0,0.0,0.0,0.0
EX_malttr_e,0.0,0.0,0.0,0.0
EX_glyc3p_e,0.0,0.0,0.0,0.0
EX_glyc_e,0.0,0.0,0.0,0.0
GALUi_copy1,-403.40475133251806,-384.5632172557768,-264.96972042099253,-249.5867718727322
GALURt2r,0.0,0.0,0.0,0.0
GALUi_copy2,403.4195375360665,384.57800345932526,264.984506624541,249.60155807628064
GALabc,0.0,0.0,0.0,0.0
EX_glyclt_e,0.0,0.0,0.0,0.0
EX_gsn_e,0.0,0.0,0.0,0.0
EX_gua_e,0.0,0.0,0.0,0.0
GALt2,0.0,0.0,0.0,0.0
EX_maltttr_e,0.0,0.0,0.0,0.0
GAMpts,0.0,0.0,0.0,0.0
GAPD,15.897255784323944,15.897255784319322,16.246164186541417,16.246164186542078
GARFT,0.35689190664771847,0.3568919066489032,0.35689190664790416,0.35689190664756865
EX_man6p_e,0.0,0.0,0.0,0.0
GART,0.0,0.0,0.0,0.0
GCALDD,0.03733889784954403,0.03733889784954403,0.03733889784954392,0.03733889784954392
EX_man_e,0.0,0.0,0.0,0.0
GDMANE,0.0,0.0,0.0,0.0
GLCS1,0.11500380537659552,0.11500380537659552,0.11500380537659552,0.11500380537659552
EX_melib_e,0.0,0.0,0.0,0.0
GLCURt2r,0.0,0.0,0.0,0.0
GF6PTA,0.05376801290334336,0.05376801290334336,0.05376801290334336,0.05376801290334336
GHMT2r,1.1776008813806957,1.1776008813818803,1.177600881380882,1.1776008813805459
GK1,0.20791045100582906,0.20791045100582906,0.20791045100580852,0.20791045100580852
GLCpts,0.0,0.0,8.527030382049798,9.508884339531154
GLCDe,0.0,0.0,0.0,0.0
EX_met__D_e,0.0,0.0,0.0,0.0
GLCNt2r,0.0,0.0,0.0,0.0
GLCt2,10.0,10.0,1.472969617950203,0.49111566046884647
EX_met__L_e,0.0,0.0,0.0,0.0
GLGC,0.11500380537659552,0.11500380537659552,0.11500380537659552,0.11500380537659552
GLNS,1.4200938727969794,1.4200938727993488,1.42009387279733,1.420093872796659
GLCP,0.0,0.0,0.0,0.0
GLCRAL,0.0,0.0,0.0,0.0
GLCRD,0.0,0.0,0.0,0.0
GLCRt2r,0.0,0.0,0.0,0.0
GLNabc,0.0,0.0,0.0,0.0
GLTPD,0.0,0.0,0.0,0.0
GLU5K,0.15682337096808396,0.15682337096808396,0.15682337096808396,0.15682337096808396
GLUABUTt7,17.109249155477205,14.746453018782896,18.410383600255628,16.777697001041393
GLUCYS,0.0,0.0,0.0,0.0
GUAD,0.0,0.0,0.0,0.0
GUAPRT,0.0,0.0,0.0,0.0
GLUDC,0.0,0.0,0.0,0.0
EX_mnl_e,0.0,0.0,0.0,0.0
GLUDy,-6.215444137704196,-6.215444137708523,-6.215444137705588,-6.2154441377045835
GLUN,0.0,0.0,0.0,0.0
GLUPRT,0.35689190664771847,0.3568919066489032,0.35689190664790416,0.35689190664756865
GUAt,0.0,0.0,0.0,0.0
EX_na1_e,0.0,0.0,0.0,0.0
GUAt2r,0.0,0.0,0.0,0.0
GUI1,0.0,0.0,0.0,0.0
GLUR,-0.020611071612948288,-0.020611071612948288,-0.020611071612948288,-0.020611071612948288
GLUSy,0.0,0.0,0.0,0.0
GLUTRR,0.0,0.0,0.0,0.0
GLUTRS,0.0,0.0,0.0,0.0
GUI2,0.0,0.0,0.0,0.0
GLUabc,0.0,0.0,0.0,0.0
EX_nac_e,0.0,0.0,0.0,0.0
EX_nad_e,0.0,0.0,0.0,0.0
H2Ot,-37.30131847594023,-37.30131847595969,-37.301318475949664,-37.301318475946154
EX_nh4_e,-7.978921450683825,-7.978921450691417,-7.978921450686514,-7.978921450684843
GLUt2r,-28.099663853927037,-32.59735903142542,-21.073071280820812,-16.777697001041393
EX_nmn_e,0.0,0.0,0.0,0.0
GLUt4,10.990414698449833,17.850906012642525,2.6626876805651847,0.0
GLXCL,0.0,0.0,0.0,0.0
HBZOPT,0.0,0.0,0.0,0.0
HCINNMt2r,0.0,0.0,0.0,0.0
EX_no2_e,0.0,0.0,0.0,0.0
HCO3E,2.0795495897208394,2.0795495897220246,2.079549589721025,2.0795495897206897
GLYALDt,0.0,0.0,0.0,0.0
